定点测试程序,语言,分类,描述
164.gzip,C,压缩,gzip来源于是GNU的gzip。gzip使用LZ77（Lempel-Ziv）压缩算法，所有的压缩和解压缩都在内存中发生
175.vpr,C,FPGA电路布局和布线,FPGA集成电路中的布局和布线程序，能自动实现映射技术的电路，如网表或超图，把FPGA逻辑块和IO pad连在一起
176.gcc,C,C编程语言编译器,基于gcc版本2.7.2，它产生Motorola 88200处理器的代码，该编译过程开启了许多优化的选项
181.mcf,C,组合，优化,该程序为解决公共交通公司单车场容量约束车辆调度问题设计求解的算法
186.crafty,C,棋类游戏，国际象棋,高性能计算机棋类程序，包含大量的逻辑操作，例如与、或、异或和移位。其输入5个不同棋盘和深度，搜索树决定下一步的移动，用于比较处理器的定点、分支预测和流水线的效率
197.parser,C,字处理,基于link语法的英文语法解析器，解析器包含一个60000词的字典，输入为一个句子，输出为句子的分析，分析捕获了句子的语法结构
252.eon,C++,计算机可视化技术,一种基于概率的射线追踪器。其渲染了一个150x150像素屋子角落前方的椅子，渲染的算法采用Kajiya、Cook和Rushmeier
253.perlbmk,C,PERL编程语言,解释执行语言Perl，包括四个脚本：Email到HTML的转换MHonArc；Specdiff脚本；使用标准迭代算法寻找完全数；检测所产生的1000个随机数
254.gap,C,群论，解释器,GAP表示群论、算法和编程，其实现了计算群论中的一个语言和库。程序执行包括一些组合函数、大数、有限域函数、置换群、子群格计算和可解群中找到正规化子等等
255.vortex,C,面向对象数据库,源自一个单用户面向对象的数据库交易测试VORTEx，事务包括在数据库中创建一项、删除一项和数据的查找。包括三个不同的数据库，邮件列表、零件目录表和几何数据
256.bzip2,C,压缩,源自Julian Seward的bzip2，一个块排序的数据压缩算法，所有的压缩和解压缩在内存中进行。三个输入：大的tiff图像文件，程序二进制文件，源代码的tar文件
300.twolf,C,布局布线模拟器,芯片的布局和标准单元的全局连线的模拟。布局的问题是排列，采用模拟退火作为启发式方法来寻找最好的解决方法。全局路由使用了构造算法和迭代改进对子微芯片进行互连
浮点测试程序,语言,分类,描述
168.wupwise,Fortran 77,物理，量子色动力学,Wuppertal Wilson Ferminon求解器的简称，属于量子色动力学的格点规范理论领域。通过BiCGStab迭代的方法，求解了非齐次Lattice-Dirac方程
171.swim,Fortran 77,浅水建模,天气预报程序，用于测试当前高性能计算机的性能。实现浅水方程的有限差分的动力学模型，处理1335x1335范围的数据数组，迭代512次
172.mgrid,Fortran 77,三维势场多栅格求解器,使用一个简单的多网格求解器来计算一个三维的线性势场，源自NAS并行测试程序，对可移植性进行修改并采用不同的工作负载
173.applu,Fortran 77,抛物线/椭圆偏微分方程,模拟了三维逻辑结构化网格上的5个耦合非线性偏微分方程（PDE），使用了隐式伪时间匹配方法，基于稀疏雅可比矩阵的双因子近似因子分解方法
177.mesa,C,三维图形库,Mesa是一个开源的OpenGL实现库，支持通用帧缓冲，能配置为与OS和窗口系统无关。测试浮点、标量和内存的性能。输入为二维标量域，输出为PNG的二维图像文件
178.galgel,Fortran 90,计算流体动力学,源自GAMM测试程序的特定实例。低普朗特数流体在对流时发生震荡失稳的数值分析，计算稳态到失稳的临界格拉晓夫数和临界频率，使用频谱伽略金方法
179.art,C,图像识别，神经网络,使用自适应共振理论2（ART 2）神经网络方法，在温度图像中识别对象。对象是直升飞机或者飞机，神经网络首先在对象上进行训练，训练结束后，在扫描域图像中去找已经学习过的图像
183.equake,C,地震波传播模拟,使用有限元方法在非结构化网格中计算波长，模拟了地震时弹性波的传播，在大的、异构的山谷，如加州的圣费尔南多山谷或洛杉矶盆地，计算弹性波的传播，目标是能识别地震引起地表运动的历史时间
187.facerec,Fortran 90,图像处理，人脸识别,人脸的学习，从典范图像中抽取图像。对于每个要探测的图库，与相册图库进行匹配，查找相似性结果向量，寻找最大值，识别出相关图像
188.ammp,C,计算化学,在水包裹的混合蛋白质抑制剂环境下计算分子动力学，求解ODE方程，它是系统中原子运动的牛顿方程。该程序所模拟的蛋白质是HIV蛋白酶和茚地那韦抑制剂混合物
189.lucas,Fortran 90,数论，素数测试,执行了Lucas-Lehmer测试，检查梅森数的素数性2p-1。通过离散加权转换技术来计算梅森mod平方，使用数据局部的FFT算法来执行Lucas-Lehmer迭代的大定点数的平方
191.fma3d,Fortran 90,有限元碰撞模拟,这个程序计算非弹性、三维固体和结构在受到冲击或者突然加上负载时的瞬态动态响应行为。该程序构建了元素库，也对真实物质的特性进行建模，如弹性和塑性等
200.sixtrack,Fortran 77,高能核物理加速器设计,模拟在粒子加速器模型中，跟踪变化数量的粒子，以及变化数量的粒子发生了翻转。加速器的模型，如大型强子对撞机（LHC），可以用于动力学孔径的检查，如梁的长期稳定性
301.apsi,Fortran 77,气象学，污染物分布,求解中尺度天气系统的和天气的变化，包括位温，U和V风的分量，中尺度的垂直速度，W压力，污染物浓度分布C，源Q。采用劈分算法对整个系统进行求解
